target,fold,model,test_start,test_end,n_test,positive_rate,precision,recall,f1,pr_auc
NextVolSpike,1,Majority,2019-01-02,2019-04-02,882,0.2494331065759637,0.0,0.0,0.0,
NextVolSpike,1,Persistence,2019-01-02,2019-04-02,882,0.2494331065759637,0.7161572052401747,0.7454545454545455,0.7305122494432071,
NextVolSpike,1,LogisticRegression,2019-01-02,2019-04-02,882,0.2494331065759637,0.6511627906976745,0.8909090909090909,0.7523992322456814,0.8456610780979325
NextVolSpike,1,LightGBM,2019-01-02,2019-04-02,882,0.2494331065759637,0.66,0.9,0.7615384615384615,0.864478409471227
NextVolSpike,1,XGBoost,2019-01-02,2019-04-02,882,0.2494331065759637,0.7068273092369478,0.8,0.7505330490405118,0.8519801850032369
NextVolSpike,1,MatchedNaive,2019-01-02,2019-04-02,882,0.2494331065759637,0.8701298701298701,0.9136363636363637,0.8913525498891353,0.9298402249432978
NextVolSpike,1,HAR,2019-01-02,2019-04-02,882,0.2494331065759637,0.868995633187773,0.9045454545454545,0.8864142538975501,0.9220525380603157
NextVolSpike,2,Majority,2019-04-03,2019-07-02,882,0.19727891156462585,0.0,0.0,0.0,
NextVolSpike,2,Persistence,2019-04-03,2019-07-02,882,0.19727891156462585,0.4580152671755725,0.3448275862068966,0.39344262295081966,
NextVolSpike,2,LogisticRegression,2019-04-03,2019-07-02,882,0.19727891156462585,0.4660633484162896,0.5919540229885057,0.5215189873417722,0.4880417212262715
NextVolSpike,2,LightGBM,2019-04-03,2019-07-02,882,0.19727891156462585,0.5252100840336135,0.7183908045977011,0.6067961165048543,0.5670963739062032
NextVolSpike,2,XGBoost,2019-04-03,2019-07-02,882,0.19727891156462585,0.5642458100558659,0.5804597701149425,0.5722379603399433,0.5566032756978317
NextVolSpike,2,MatchedNaive,2019-04-03,2019-07-02,882,0.19727891156462585,0.8465909090909091,0.8563218390804598,0.8514285714285714,0.8890043360690721
NextVolSpike,2,HAR,2019-04-03,2019-07-02,882,0.19727891156462585,0.8628571428571429,0.867816091954023,0.8653295128939829,0.8899100721199753
NextVolSpike,3,Majority,2019-07-03,2019-10-01,882,0.20068027210884354,0.0,0.0,0.0,
NextVolSpike,3,Persistence,2019-07-03,2019-10-01,882,0.20068027210884354,0.5789473684210527,0.4350282485875706,0.4967741935483871,
NextVolSpike,3,LogisticRegression,2019-07-03,2019-10-01,882,0.20068027210884354,0.5555555555555556,0.8192090395480226,0.6621004566210046,0.6627749952234115
NextVolSpike,3,LightGBM,2019-07-03,2019-10-01,882,0.20068027210884354,0.5275862068965518,0.864406779661017,0.6552462526766595,0.6791797022512376
NextVolSpike,3,XGBoost,2019-07-03,2019-10-01,882,0.20068027210884354,0.5958333333333333,0.807909604519774,0.6858513189448441,0.6886581675828964
NextVolSpike,3,MatchedNaive,2019-07-03,2019-10-01,882,0.20068027210884354,0.8685714285714285,0.8587570621468926,0.8636363636363636,0.8867108282631883
NextVolSpike,3,HAR,2019-07-03,2019-10-01,882,0.20068027210884354,0.8520710059171598,0.8135593220338984,0.8323699421965318,0.8803276299880799
NextVolSpike,4,Majority,2019-10-02,2019-12-31,882,0.049886621315192746,0.0,0.0,0.0,
NextVolSpike,4,Persistence,2019-10-02,2019-12-31,882,0.049886621315192746,0.19117647058823528,0.29545454545454547,0.23214285714285715,
NextVolSpike,4,LogisticRegression,2019-10-02,2019-12-31,882,0.049886621315192746,0.18181818181818182,0.36363636363636365,0.24242424242424243,0.44406742633410673
NextVolSpike,4,LightGBM,2019-10-02,2019-12-31,882,0.049886621315192746,0.32323232323232326,0.7272727272727273,0.44755244755244755,0.4949421452908644
NextVolSpike,4,XGBoost,2019-10-02,2019-12-31,882,0.049886621315192746,0.36764705882352944,0.5681818181818182,0.44642857142857145,0.49289444687475165
NextVolSpike,4,MatchedNaive,2019-10-02,2019-12-31,882,0.049886621315192746,0.782608695652174,0.8181818181818182,0.8,0.8697750284436828
NextVolSpike,4,HAR,2019-10-02,2019-12-31,882,0.049886621315192746,0.8043478260869565,0.8409090909090909,0.8222222222222222,0.8778766030702054
NextVolSpike,5,Majority,2020-01-02,2020-04-01,882,0.562358276643991,0.0,0.0,0.0,
NextVolSpike,5,Persistence,2020-01-02,2020-04-01,882,0.562358276643991,0.9364035087719298,0.8608870967741935,0.8970588235294118,
NextVolSpike,5,LogisticRegression,2020-01-02,2020-04-01,882,0.562358276643991,0.9036608863198459,0.9455645161290323,0.9241379310344827,0.982672103784421
