Date,Ticker,Close,High,Low,Open,Volume,Return,RollingVol,RSI,Price_to_SMA20,Price_to_SMA50,SMA20_to_SMA50,Volume_Z,VIX,Lagged_Return,NextReturn,NextDirection,NextVolSpike,vol_threshold
2015-07-20,AAPL,29.51715660095215,29.718301897455508,29.210964365243733,29.271309318307836,235600800,0.0189014543196364,0.0169747111131643,64.53981188785565,1.0457263797679377,1.0330560174265326,0.9878836734096575,1.110108458125708,12.25,0.0086376054731132,-0.0099949009695394,0,1,0.0173106890568371
2015-07-21,AAPL,29.22213554382324,29.707122011301394,29.12603379044251,29.691479046689704,307025600,-0.0099949009695394,0.017494317944588,60.03695652359886,1.0339890811634709,1.0222301846959725,0.9886276396127248,2.0053104375377093,12.220000267028809,0.0189014543196364,-0.0422944210213359,0,1,0.017243493468102545
2015-07-22,AAPL,27.98620223999023,28.048780920616032,27.264308562448523,27.264308562448523,461802400,-0.0422944210213359,0.0211858601318103,45.66362631641062,0.9909663452772872,0.9791639648922256,0.9880900290496148,3.0380300763906787,12.119999885559082,-0.0099949009695394,-0.0004790486906751,0,1,0.017406237582584482
2015-07-23,AAPL,27.972795486450195,28.404141673972873,27.950444494126867,28.205230119312716,203998000,-0.0004790486906751,0.0196940127574102,45.53627322459335,0.9916491574757424,0.9788035800435604,0.987046247823292,0.0602083539434856,12.640000343322754,-0.0422944210213359,-0.0052732203307545,0,1,0.017479689137684842
2015-07-24,AAPL,27.825288772583008,28.102423701392432,27.691191336394024,28.008555666574285,168649200,-0.0052732203307545,0.0181932587836734,44.079640751463806,0.9875936787841432,0.9738721358365788,0.9861060846759798,-0.3795967109256183,13.739999771118164,-0.0004790486906751,-0.0138955674911651,0,0,0.01754764968210848
2015-07-27,AAPL,27.438640594482425,27.626378377218433,27.293369360452058,27.51015934382436,177822000,-0.0138955674911651,0.0175263621967539,40.42895937937194,0.975410250503144,0.9612690126140988,0.9855022664753104,-0.2724747362170134,15.600000381469728,-0.0052732203307545,0.004968319343795,1,0,0.0177609766321904
2015-07-28,AAPL,27.57496452331543,27.693418958735595,27.3894639464405,27.57496452331543,134472400,0.004968319343795,0.0176686918038714,42.24516510014463,0.9807044275574712,0.9668609970448524,0.9858841969877744,-0.7356594923789854,13.4399995803833,-0.0138955674911651,-0.0031607038225806,0,0,0.0177140537451031
2015-07-29,AAPL,27.487808227539062,27.60179181286985,27.32689062592886,27.52356845240416,148046800,-0.0031607038225806,0.0172186094742115,41.376612473487405,0.9785536413864776,0.9648938727600608,0.9860408586216464,-0.5569620756151348,12.5,0.004968319343795,-0.0050411032057113,0,0,0.0177240627008628
2015-07-30,AAPL,27.34923934936523,27.393937921595764,27.20173099175027,27.338063853736987,134513200,-0.0050411032057113,0.0162443925363245,39.96959185964693,0.975261796919336,0.9611910325265872,0.9855723207479308,-0.7255785011205841,12.130000114440918,-0.0031607038225806,-0.0087439895924911,0,0,0.017705605735199
2015-07-31,AAPL,27.110097885131836,27.40958206462054,27.02293447736177,27.40064200931833,171540000,-0.0087439895924911,0.015566977696532,37.59365988222944,0.968718269571553,0.9540993807947948,0.9849090398767602,-0.3412077212324109,12.119999885559082,-0.0050411032057113,-0.0235778677720384,0,0,0.0176871487695352
